Text,Count,Total Word Count,Frequency per 1000 words
Gunnlaugs saga Ormstungu-AM 557 4to,1,7557,0.1323276432446738
Breta sǫgur-AM 573 4to,0,10460,0.0
Karls þáttr vesæla-AM 557 4to,0,3676,0.0
Theta-fragment of Egils saga-AM 162 A θ fol.,0,3117,0.0
Pamphilus saga-DG 4-7,7,4232,1.6540642722117203
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),6,12876,0.4659832246039142
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),2,11275,0.17738359201773835
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,107,115206,0.9287710709511657
Old Norwegian Homily Book-AM 619 4to,20,14633,1.3667737306088978
Hallfreðr saga vandraskald-AM 557 4to,0,9152,0.0
Valdimars saga-AM 557 4to,1,2344,0.42662116040955633
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,0,2685,0.0
Barlaams ok Josaphats saga-Holm perg 6 fol,142,76412,1.8583468565146835
Strengleikar-DG 4–7,21,38453,0.5461212389150392
Hrafns saga Sveinbjarnarsonar-AM 557 4to,0,3597,0.0
Rögnvalldr ok Rauð-AM 557 4to,0,3001,0.0
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),1,9810,0.10193679918450561
Codex Frisianus-AM 45 fol.,1,11980,0.08347245409015025
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,3,11286,0.2658160552897395
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,77,45243,1.7019207391198639
Thómass saga erkibiskups-Holm perg 17 4to,88,61087,1.440568369702228
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),3,9692,0.3095336359884441
Zeta-fragment of Egils saga-AM 162 A ζ fol.,2,3839,0.5209690023443605
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),22,23607,0.9319269708137417
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),4,5703,0.7013852358407856
Konungs skuggsjá-AM 243 bα fol,35,63936,0.5474224224224224
Trójumanna saga-AM 573 4to,0,3778,0.0
Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,24,38618,0.6214718525040136
Alexanders saga-AM 519 a 4to,38,46797,0.8120178643930166
Reynistaðarbók-AM 764 4to,6,35042,0.17122310370412647
A fragment of Konungs skuggsjá-NRA norr fragm 58 C,1,2991,0.33433634236041454
Dámusta saga-AM 557 4to,1,2980,0.3355704697986577
Óláfs saga ins helga (legendary version)-DG 8 II,7,41142,0.1701424335229206
Eiríks saga rauða-AM 557 4to,1,7721,0.12951690195570523
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),7,19478,0.35937981312249717
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),2,2918,0.6854009595613434
