,Latein,Altnordisch,Anzahl
0,amo,biðja,4
1,peto,biðja,5
2,quod,biðja,4
3,ut,biðja,3
4,frater,bróðir,3
5,lignum,eldr,3
6,amor,et,3
7,dico,et,5
8,dominus,et,3
9,facio,et,5
10,meus,et,3
11,omnis,et,3
12,hinc,frá,3
13,fama,frǽgð,3
14,malatro,galathea,3
15,dolor,harmr,5
16,tuus,heimskr,3
17,mens,hyggja,3
18,mitus,hógvǽrr,3
19,menus,kvennagyðja,3
20,venus,líf,4
21,gracia,miskunn,3
22,que,mǽla,3
23,bene,nec,3
24,meus,nec,4
25,loquor,non,3
26,meus,non,3
27,uerba,orð,3
28,inde,rǿða,6
29,loquor,rǿða,3
30,primitus,rǿða,4
31,tuus,rǿða,4
32,mens,sed,3
33,modus,sed,4
34,tuus,sed,4
35,uenio,sed,3
36,meus,sic,3
37,multus,sic,5
38,arsquis,starf,3
39,labor,starf,5
40,meus,til,3
41,multus,ungr,3
42,soleo,vanr,3
43,spes,venus,4
44,uello,vili,3
45,ut,vilja,3
46,multus,vita,3
47,spes,ván,3
48,ars,vél,6
49,tuus,vél,3
50,amor,ást,3
51,et,ást,3
52,meus,ást,3
53,mille,þúshundrað,3
